hash,Chunk_Index,Arr_Time,Del_Time,Stall_Dur,Rep_Level,Del_Rate,Act_Rate,Byte_Size,Buffer_Level,Codec,Height,Width,fps,ChunkDur,ChunkStartTime,AvgThr,PlayBackPos
0,1,20038,97,0,237,6794,165,82382,4000, h264,180,320,24.0,4000,0,7771,0
1,2,20532,343,0,377,8357,717,358320,7458, h264,216,384,24.0,4000,4000,7849,0
2,3,20972,302,0,568,7924,598,299158,11564, h264,288,512,24.0,4000,8000,9346,436
3,4,21598,326,0,1072,11106,905,452580,14693, h264,360,640,24.0,4000,12000,8865,1056
4,5,22709,963,0,2406,8236,1983,991500,17744, h264,720,1280,24.0,4000,16000,7477,2173
5,6,24239,1468,0,2406,5558,2040,1019898,20261, h264,720,1280,24.0,4000,20000,7577,3697
6,7,25157,858,0,2406,7720,1656,827992,23379, h264,720,1280,24.0,4000,24000,6490,4621
7,8,27349,2081,0,3072,4904,2552,1275888,25185, h264,720,1280,24.0,4000,28000,6505,6815
8,9,29628,2215,0,3072,6528,3615,1807501,26871, h264,720,1280,24.0,4000,32000,6716,9087
9,10,32701,2965,0,3878,7029,5211,2605427,27755, h264,1080,1920,24.0,4000,36000,7111,12161
10,11,35633,2872,0,3878,7699,5528,2763952,28863, h264,1080,1920,24.0,4000,40000,7038,15095
11,12,38769,3076,0,3878,6936,5334,2667155,29685, h264,1080,1920,24.0,4000,44000,6431,18231
12,13,42907,4002,0,4334,5536,5540,2769849,29551, h264,1080,1920,24.0,4000,48000,6694,22365
13,14,45866,2906,0,4334,7112,5167,2583661,30592, h264,1080,1920,24.0,4000,52000,7137,25324
14,15,48224,2317,0,4334,7805,4521,2260598,32277, h264,1080,1920,24.0,4000,56000,6051,27681
15,16,51485,3212,0,4334,4428,3556,1777912,32974, h264,1080,1920,24.0,4000,60000,6331,30942
16,17,53691,2151,0,4334,6759,3635,1817342,34762, h264,1080,1920,24.0,4000,64000,6812,33154
17,18,55236,1501,0,4334,7517,2821,1410400,37301, h264,1080,1920,24.0,4000,68000,6886,34699
18,19,56635,1340,0,4334,6993,2343,1171462,39867, h264,1080,1920,24.0,4000,72000,7593,36091
19,20,57760,1076,0,4334,8645,2326,1162830,42736, h264,1080,1920,24.0,4000,76000,8556,37222
20,21,58882,1065,0,4334,9986,2659,1329446,45615, h264,1080,1920,24.0,4000,80000,9109,38343
21,22,60195,1252,0,4334,9920,3105,1552565,48265, h264,1080,1920,24.0,4000,84000,6710,39651
22,23,63435,3200,0,4334,3126,2501,1250585,49062, h264,1080,1920,24.0,4000,88000,7391,42896
23,24,64821,1327,0,4334,8404,2788,1394152,51674, h264,1080,1920,24.0,4000,92000,7569,44284
24,25,66661,1789,0,4334,7836,3505,1752419,53834, h264,1080,1920,24.0,4000,96000,7348,46124
25,26,67677,965,0,4334,7000,1689,844413,56820, h264,1080,1920,24.0,4000,100000,7525,47138
26,27,70514,2779,0,4334,7784,5408,2704245,58023, h264,1080,1920,24.0,4000,104000,8115,49977
27,28,74384,3820,0,4334,8992,8588,4293923,58154, h264,1080,1920,24.0,4000,108000,9085,53846
28,29,77391,2938,0,4334,10519,7727,3863424,59103, h264,1080,1920,24.0,4000,112000,9548,56855
29,30,79039,1597,0,4334,10233,4086,2042821,61421, h264,1080,1920,24.0,4000,116000,9181,58495
30,31,81717,2621,0,4334,8639,5661,2830460,62778, h264,1080,1920,24.0,4000,120000,7725,61180
31,32,84355,2533,0,4334,5568,3526,1762984,64143, h264,1080,1920,24.0,4000,124000,5591,63815
32,33,89708,5303,0,4334,2394,3174,1587204,62789, h264,1080,1920,24.0,4000,128000,6039,69169
33,34,91061,1296,0,4334,6721,2178,1088859,65392, h264,1080,1920,24.0,4000,131999,6406,70524
34,35,92678,1573,0,4334,6961,2738,1368891,67854, h264,1080,1920,24.0,4000,136000,6327,72146
35,36,95920,3195,0,4334,6215,4964,2482188,68582, h264,1080,1920,24.0,4000,140000,6223,75376
36,37,98454,2473,0,4334,6077,3757,1878720,69795, h264,1080,1920,24.0,4000,144000,7100,77913
37,38,99242,731,0,4334,8418,1538,769233,73216, h264,1080,1920,24.0,4000,148000,8616,78700
38,39,101676,2373,0,4334,10887,6459,3229610,74822, h264,1080,1920,24.0,4000,152000,8912,81136
39,40,104810,3080,0,4334,9363,7210,3604837,75686, h264,1080,1920,24.0,4000,156000,10728,84272
40,41,106833,1974,0,4334,13421,6624,3311859,77703, h264,1080,1920,24.0,4000,160000,10944,86297
41,42,108641,1757,0,4334,11234,4935,2467481,79853, h264,1080,1920,24.0,4000,164000,9381,88105
42,43,111181,2487,0,4334,7008,4358,2178852,81321, h264,1080,1920,24.0,4000,168000,10196,90637
43,44,112770,1538,0,4334,11390,4380,2189754,83606, h264,1080,1920,24.0,4000,172000,11162,92227
44,45,115289,2468,0,4334,12577,7760,3880043,85167, h264,1080,1920,24.0,4000,176000,11809,94749
45,46,117878,2533,0,4334,12740,8068,4033935,86581, h264,1080,1920,24.0,4000,180000,9375,97335
46,47,121443,3515,0,4334,5727,5033,2516483,87093, h264,1080,1920,24.0,4000,184000,9253,100907
47,48,123924,2428,0,4334,9065,5503,2751472,88572, h264,1080,1920,24.0,4000,188000,7637,103386
48,49,128004,4021,0,4334,5248,5276,2638108,88122, h264,1080,1920,24.0,4000,192000,8278,107461
49,50,130007,1951,0,4334,9240,4507,2253637,90453, h264,1080,1920,24.0,4000,196000,6492,109464
50,51,135694,5629,0,4334,3870,5447,2723680,88016, h264,1080,1920,24.0,4000,200000,6006,115150
51,52,138024,2274,0,4334,5313,3021,1510485,90472, h264,1080,1920,24.0,4000,204000,4335,117486
52,53,145395,7320,0,4334,1860,3405,1702642,87142, h264,1080,1920,24.0,4000,208000,4826,124858
53,54,149420,3978,0,4334,5598,5567,2783663,86788, h264,1080,1920,24.0,4000,212000,4547,128878
54,55,153685,4217,0,4334,4179,4406,2202987,86813, h264,1080,1920,24.0,4000,216000,4120,133145
55,56,157470,3734,0,4334,3536,3302,1650848,86822, h264,1080,1920,24.0,4000,220000,5573,136928
56,57,157981,456,0,4334,7740,882,441183,90349, h264,1080,1920,24.0,4000,224000,6311,137443
57,58,158749,715,0,4334,7429,1328,664029,93668, h264,1080,1920,24.0,4000,228000,7536,138207
58,59,163331,4421,0,15445,9348,10333,5166313,93207, h264,2160,3840,24.0,4000,232000,7017,142793
59,60,173148,9766,0,15445,6255,15274,7636894,87353, h264,2160,3840,24.0,4000,236000,6487,152605
60,61,184206,11000,0,15445,5681,15624,7812175,80293, h264,2160,3840,24.0,4000,240000,7157,163665
61,62,188793,4532,0,15445,8145,9229,4614513,79707, h264,2160,3840,24.0,4000,244000,6983,168251
62,63,202761,13900,0,15445,6691,23254,11627233,69699, h264,2160,3840,24.0,4000,248000,7063,182217
63,64,213801,10987,0,15445,7174,19707,9853327,62654, h264,2160,3840,24.0,4000,252000,8014,193262
64,65,220869,7009,0,15445,9409,16488,8244147,59628, h264,2160,3840,24.0,4000,256000,7074,200330
65,66,227928,7004,0,15445,5651,9895,4947586,56569, h264,2160,3840,24.0,4000,260000,6666,207389
66,67,237062,9090,0,15445,6065,13783,6891658,51396, h264,2160,3840,24.0,4000,263999,-1,216520
